"geneNames.as.numeric.rownames.res_coef1..1.l1...","res_coef1.adj.P.Val.1.l1."
"EI24",2.94811286474869e-08
"BC018005",2.96163316597329e-08
"PFKFB4",3.03214720339844e-08
"AI762446",3.03608295505167e-08
"ZBTB39",3.14900078387678e-08
"RARS",3.17309468403661e-08
"STAU1",3.17309468403661e-08
"GSG1L",3.17309468403661e-08
"BF847120",3.17309468403661e-08
"UBXN8",3.17309468403661e-08
"AI922966",3.19197467277177e-08
"LRRCC1",3.27507196572853e-08
"TMEM87A",3.33011014855115e-08
"HS1BP3",3.34308755664928e-08
"PRR14L",3.36628627065208e-08
"RPAP2",3.38001850289035e-08
"GLS2",3.40944783897463e-08
"AI652919",3.41306677244723e-08
"TAOK3",3.41306677244723e-08
"SLC35D1",3.41306677244723e-08
"PTPN4",3.42436544940324e-08
"239702_x_at",3.42436544940324e-08
"C18orf61",3.42436544940324e-08
"AA057585",3.54453419259328e-08
"CES3",3.54801503459141e-08
"CHD3",3.56475630057026e-08
"THAP6",3.65356267682103e-08
"LEPROTL1",3.6615963719836e-08
"SBK1",3.74152244163861e-08
"SAMD14",3.77133587510413e-08
"MRPL44",3.83290887093593e-08
"PIGN",3.84540416941465e-08
"GOLGA4",3.8477945079578e-08
"AK021576",3.88042034647954e-08
"RAB22A",3.88042034647954e-08
"ARHGAP1",3.88042034647954e-08
"IRF2BP2",3.88293524292103e-08
"TNNT2",3.88293524292103e-08
"CASP5",3.92745133299528e-08
"FAM173B",3.98641312652232e-08
"CEACAM5",3.98641312652232e-08
"SP5",4.0041898240061e-08
"ACAD10",4.03474012825087e-08
"TRMT61A",4.05312946688793e-08
"STK24",4.11995403068599e-08
"HFE",4.11995403068599e-08
"GTPBP8",4.15034276014955e-08
"MAPRE3",4.17073821509537e-08
"AI674915",4.1860522356848e-08
"AF086538",4.23412057186966e-08
"LOC100506470",4.24077958027273e-08
"TMEM144",4.25075787715817e-08
"ADI1",4.26436190776801e-08
"AI362687",4.27462277084986e-08
"AW135616",4.38888297655755e-08
"GOLGA4",4.38888297655755e-08
"ABCB1",4.38888297655755e-08
"1557751_at",4.39739325304372e-08
"BF514596",4.45235578637939e-08
"RPL23AP7",4.45970661086543e-08
"RHBG",4.49020211877243e-08
"DYM",4.49020211877243e-08
"IKBIP",4.49020211877243e-08
"LYRM4",4.50492126140397e-08
"TMED10",4.51990259727756e-08
"SOX2",4.58576839392355e-08
"234468_at",4.59681764668577e-08
"POP5",4.60422085989289e-08
"TMEM196",4.62778912339572e-08
"ZNF253",4.62778912339572e-08
"ZNF442",4.62778912339572e-08
"PSPC1",4.6529859084395e-08
"METTL10",4.67278409262086e-08
"AF147400",4.71271624344362e-08
"TREML2",4.71673372693297e-08
"MYBBP1A",4.74067932945996e-08
"RBMS2",4.74637929278772e-08
"ZNF24",4.79943959279629e-08
"TOB1-AS1",4.81216867628632e-08
"SDK1",4.84588271013925e-08
"NTN5",4.84588271013925e-08
"SPTLC3",4.86576247112365e-08
"CSE1L",4.90573702162807e-08
"CTSV",4.94679512892263e-08
"AF172327",5.13164141348958e-08
"POLH",5.13164141348958e-08
"SPIN3",5.18353512907129e-08
"LOC101559451",5.23200512873415e-08
"PCP2",5.23200512873415e-08
"214202_at",5.2499821754396e-08
"ARNT",5.35868260676266e-08
"LOC102725436",5.35868260676266e-08
"LOC401585",5.35868260676266e-08
"LOC101928274",5.38929929363267e-08
"MORN3",5.41168493646601e-08
"HGSNAT",5.45411627997106e-08
"CRB3",5.46563680904533e-08
"MTPAP",5.50961568754076e-08
"CCDC174",5.52743154781173e-08
"MGAT3",5.52743154781173e-08
"AI074612",5.58349342119305e-08
"LOC101930322",5.5885390084496e-08
"TDRD3",5.58886152730987e-08
"VPS18",5.58886152730987e-08
"SAR1B",5.58974167951619e-08
"MBOAT2",5.58974167951619e-08
"AL575511",5.58974167951619e-08
"HNRNPDL",5.63904803768255e-08
"GMEB1",5.63904803768255e-08
"EFCAB6",5.63904803768255e-08
"TMBIM4",5.63904803768255e-08
"HKDC1",5.63904803768255e-08
"ALG12",5.64051963639212e-08
"RAB3B",5.71483418960572e-08
"DNAJA2",5.72835584093865e-08
"ATF5",5.74919543922517e-08
"HADH",5.77778695437315e-08
"KPNB1",5.80113954470485e-08
"FAM192A",5.84442507371607e-08
"GATA1",5.87367008684929e-08
"242896_at",5.90010677228888e-08
"AK022015",5.90010677228888e-08
"FABP6",5.91634621848245e-08
"THAP10",6.01333046171469e-08
"MASP1",6.06658797339435e-08
"AW451624",6.09914593371038e-08
"STAG3L4",6.25920785667887e-08
"IPO9",6.26248433475377e-08
"LOC101928464",6.30389981374058e-08
"PANX2",6.33608765242038e-08
"ITPKB",6.41131317865718e-08
"KMT5A",6.42324442025761e-08
"BF059319",6.42733602868883e-08
"AF138859",6.4639106600559e-08
"MON2",6.47832287121334e-08
"AF116689",6.47832287121334e-08
"SLC9A5",6.52417177061685e-08
"FAM83A",6.52417177061685e-08
"SMARCA4",6.60004049393389e-08
"DCDC2B",6.67194338626664e-08
"ARNT",6.71549068588216e-08
"LINC00662",6.72539337274856e-08
"ALS2",6.73206578569536e-08
"TMEM161B",6.74385736400245e-08
"DENND1A",6.76021451656593e-08
"C1orf43",6.85035197251439e-08
"TOR1AIP1",6.86798184048656e-08
"ULK2",6.87702165850646e-08
"GPR180",6.8857795030103e-08
"EHD3",6.89544126711158e-08
"BBS10",6.90730924327308e-08
"PAX8",6.90730924327308e-08
"217363_x_at",6.90730924327308e-08
"BC036419",6.9161216827418e-08
"SGCA",6.9161216827418e-08
"MEAF6",7.13012033136565e-08
"HNF4A",7.13599032685598e-08
"CLDND2",7.15160403985895e-08
"RPL22",7.31137251186483e-08
"JPX",7.4089159222329e-08
"SPDEF",7.49764138590773e-08
"C2orf69",7.49764138590773e-08
"WHAMMP2",7.51565568118416e-08
"AK022686",7.53928954161375e-08
"PLCB1",7.57742197110725e-08
"LOC374890",7.63486136293026e-08
"AI769647",7.65172242984162e-08
"217129_at",7.65580882572771e-08
"TWF1",7.6646783467459e-08
"LOC441601",7.69601558286391e-08
"PABPC3",7.80901030699968e-08
"CLCN4",7.80901030699968e-08
"WDR36",7.80901030699968e-08
"ADAM20",7.83076627160103e-08
"RCHY1",7.90709446772062e-08
"FKSG29",8.10593198738267e-08
"LUZP2",8.16751804322305e-08
"BNIP3",8.1872640590047e-08
"BTBD17",8.20042950981241e-08
"SLC25A5",8.2247124984232e-08
"PLK4",8.2494155516834e-08
"DNMT3L",8.2494155516834e-08
"AF289552",8.25762476715321e-08
"NFIB",8.26262943000895e-08
"RAD23B",8.28318533310053e-08
"BFAR",8.31162134817864e-08
"KATNAL1",8.38939698282391e-08
"AF070618",8.48695606696587e-08
"RUBCN",8.49549311650874e-08
"TNFSF11",8.5954384311513e-08
"242646_at",8.66407853976734e-08
"PCDHB4",8.68547946874268e-08
"AA167270",8.71806349944708e-08
"TNPO3",9.01524535940621e-08
"IRS2",9.11291953644023e-08
"240071_at",9.115661174739e-08
"AI401535",9.11716001525452e-08
"PCM1",9.11716001525452e-08
"TCEAL4",9.23099672286836e-08
"CLPP",9.32603880395884e-08
"ZFHX2",9.38116934496721e-08
"BAHD1",9.53308260520938e-08
"STRBP",9.56266907326046e-08
"ARCN1",9.56266907326046e-08
"BCAS4",9.56266907326046e-08
"PLA2G16",9.64646176619705e-08
"KLHL36",9.69127710303195e-08
"TMBIM4",9.69127710303195e-08
"PRLR",9.74228513989323e-08
"R42281",9.76798774065771e-08
"ATP2A1-AS1",9.76798774065771e-08
"FAM71A",9.80104684877751e-08
"CPNE7",9.80226203221195e-08
"CBR4",9.97019952011178e-08
"TSHZ2",9.97691165873986e-08
"ANKFN1",1.01430661810224e-07
"DHTKD1",1.01430661810224e-07
"CCDC40",1.01430661810224e-07
