"geneNames.as.numeric.rownames.res_coef2...","res_coef2.logFC","res_coef2.adj.P.Val"
"GPR107",0.969740999999996,0.793699792047994
"IQCA1",-4.09852116666667,0.793699792047994
"ARMC8",-1.1851265,0.796004583950832
"AA777270",1.5127415,0.799386004239017
"GON4L",1.22027866666666,0.799386004239017
"ZSCAN25",1.0973585,0.799386004239017
"GLIDR",1.48886383333333,0.799386004239017
"FAM199X",-1.61924616666667,0.799386004239017
"PHLPP1",-1.58267050000001,0.799386004239017
"ABCA1",-2.96057333333334,0.799386004239017
"WNK2",1.31993216666666,0.799386004239017
"RASEF",-2.02042616666667,0.799386004239017
"KRT18",-7.00934166666667,0.806246311819947
"FBXO9",1.368783,0.809505387535303
"GPATCH3",1.17508883333333,0.810557725815983
"ZZZ3",1.6423495,0.811212844720213
"DTWD1",1.198437,0.812097515846949
"STX3",1.68995233333333,0.812097515846949
"GOLGA4",-0.771401666666677,0.816598776118664
"AI733564",-3.241775,0.816598776118664
"TMEM206",-1.58113466666667,0.816598776118664
"ABCG4",-0.479209666666667,0.816598776118664
"ATP6V0A2",0.708132333333332,0.816598776118664
"RCC1L",0.691526833333333,0.816598776118664
"ZNF449",1.12948283333333,0.816598776118664
"AF339788",0.987600499999997,0.816598776118664
"SMOC1",3.49061316666667,0.816598776118664
"DEFB1",-4.47762683333334,0.816598776118664
